job_id,k,region,submit_time,duration,scheduled_start,delay,carbon_emitted,slo_satisfied,forced
j_018294,4,FR,0.04283333333333333,0.006361111111111111,0.04283333333333333,0.0,0.08269445080555554,True,False
j_127775,5,US-CAL-CISO,0.35122222222222227,0.009083333333333334,0.35122222222222227,0.0,1.49875,True,False
j_018296,4,FR,0.36247222222222225,0.011222222222222222,0.36247222222222225,0.0,0.1458889001111111,True,False
j_091284,5,KR,0.3993055555555556,0.001638888888888889,0.3993055555555556,0.0,0.6113055555555555,True,False
j_127779,5,US-CAL-CISO,0.4092222222222222,0.003638888888888889,0.4092222222222222,0.0,0.6004166666666667,True,False
j_073007,5,FR,0.61675,0.0010277777777777778,0.61675,0.0,0.01336111213888889,True,False
j_127785,2,US-CAL-CISO,0.5792222222222222,2.3653055555555556,0.5792222222222222,0.0,424.17812962962967,True,False
j_127797,2,US-CAL-CISO,0.8475,0.19108333333333333,0.8475,0.0,31.52875,True,False
j_054753,2,FR,0.7129722222222221,1.0221666666666667,0.7129722222222221,0.0,12.777083844416666,True,False
j_054767,2,FR,0.22455555555555554,2.1109444444444443,0.22455555555555554,0.0,26.03498218512963,True,False
j_036547,2,FR,0.16938888888888887,0.513,0.16938888888888887,0.0,6.669000512999999,True,False
j_091258,1,KR,0.2841111111111111,4.128333333333333,0.2841111111111111,0.0,1496.1079999999997,True,False
j_127776,3,JP,1.1691666666666667,0.07197222222222223,1.1691666666666667,0.0,24.038722222222223,True,False
j_091277,5,KR,1.3045,0.0010277777777777778,1.3045,0.0,0.3761666666666667,True,False
j_109516,5,FR,1.3229444444444445,0.0019444444444444444,1.3229444444444445,0.0,0.02333333333333333,True,False
j_054797,5,FR,1.775611111111111,0.0009722222222222222,1.775611111111111,0.0,0.011666666666666665,True,False
j_091250,5,KR,1.8581666666666665,0.0012777777777777776,1.8581666666666665,0.0,0.4676666666666666,True,False
j_091267,5,KR,1.9125277777777778,0.0015,1.9125277777777778,0.0,0.549,True,False
j_054769,2,FR,1.5655833333333333,0.1835277777777778,1.5655833333333333,0.0,2.2023333333333333,True,False
j_054758,2,FR,0.904,0.31619444444444444,1,0.09599999999999997,3.794333333333333,True,False
j_054778,4,FR,2.027722222222222,0.00625,2.027722222222222,0.0,0.07500000000000001,True,False
j_127763,4,JP,2.0965277777777778,0.011055555555555555,2.0965277777777778,0.0,3.582,True,False
j_036520,5,US-NY-NYIS,2.16125,0.0017777777777777779,2.16125,0.0,0.42666670222222214,True,False
j_109537,3,FR,2.183777777777778,0.06291666666666666,2.183777777777778,0.0,0.7549999999999999,True,False
j_018253,4,US-CAL-CISO,2.239666666666667,0.00675,2.239666666666667,0.0,1.26225,True,False
j_091283,5,KR,2.5526666666666666,0.0005833333333333334,2.5526666666666666,0.0,0.2094166666666667,True,False
j_091273,5,KR,2.703527777777778,0.0008055555555555556,2.703527777777778,0.0,0.2891944444444444,True,False
j_127788,4,JP,2.8340555555555556,0.009972222222222223,2.8340555555555556,0.0,3.2310000000000003,True,False
j_091276,4,KR,2.8445,0.01936111111111111,2.8445,0.0,6.950638888888888,True,False
j_091261,5,KR,2.850388888888889,0.0012222222222222224,2.850388888888889,0.0,0.4387777777777778,True,False
j_109530,2,FR,2.444722222222222,0.05183333333333333,2.444722222222222,0.0,0.6219999999999999,True,False
j_036523,1,FR,1.2646666666666668,1.3646666666666667,2,0.7353333333333332,16.376,True,False
j_054785,1,FR,0.53825,1.1445555555555555,2,1.4617499999999999,13.734666666666666,True,False
j_091291,1,KR,2.5065,0.9577222222222223,2.5065,0.0,343.8222777777778,True,False
j_036531,3,US-NY-NYIS,3.0107777777777778,0.030416666666666668,3.0107777777777778,0.0,7.117500000000001,True,False
j_018262,5,US-CAL-CISO,3.0145555555555554,0.001972222222222222,3.0145555555555554,0.0,0.3865555555555555,True,False
j_127765,5,JP,3.078,0.003277777777777778,3.078,0.0,1.048888888888889,True,False
j_127792,5,JP,3.3339444444444446,0.0009444444444444444,3.3339444444444446,0.0,0.30222222222222217,True,False
j_036522,4,US-NY-NYIS,3.513444444444444,0.01633333333333333,3.513444444444444,0.0,3.8219999999999996,True,False
